Iteration    Combined Objective
        0    1.605118e+02
        1    1.544691e+02
        2    1.491441e+02
        3    1.431971e+02
        4    1.382586e+02
        5    1.323233e+02
        6    1.273570e+02
        7    1.222619e+02
        8    1.179757e+02
        9    1.118075e+02
       10    1.090841e+02
       11    1.043994e+02
       12    9.957534e+01
       13    9.424785e+01
       14    8.912860e+01
       15    8.600726e+01
       16    8.280676e+01
       17    7.941190e+01
       18    7.516233e+01
       19    7.162070e+01
       20    6.796456e+01
       21    6.652446e+01
       22    6.339090e+01
